nome_wiki,dob_wiki,nacionalidade_wiki,nivel_match,UID,Inf,Name,DoB,Nat,Division,Club,Based,Preferred Foot,Right Foot,Left Foot,Position,Height,Weight,Age,Transfer Value,Wage,AT Apps,AT Gls,Team,Caps,Yth Apps,Style,Rc Injury,Best Role,Best Duty,Best Pos,Acc,Aer,Agg,Agi,Ant,Bal,Bra,Cmd,Com,Cmp,Cnt,Cor,Cro,Dec,Det,Dri,Ecc,Fin,Fir,Fla,Fre,Han,Hea,Jum,Kic,Ldr,Lon,L Th,Mar,Nat .1,OtB,1v1,Pac,Pas,Pen,Pos,Pun,Ref,TRO,Sta,Str,Tck,Tea,Tec,Thr,Vis,Wor,dob_iso,dob_date,name_norm
Hernán Galíndez,1987-03-30,Equador,1,14009914,,Hernán Galíndez,30/3/1987 (35 years old),ECU,Ecuadorian LigaPro Serie A,Aucas,Ecuador (LigaPro Serie A),Right,Very Strong,Weak,GK,188 cm,93 kg,35,Not for Sale,"€11,500 p/m",427,1,Main,12,-,Assertive,-,Sweeper Keeper,Support,GK,10,13,9,12,11,11,16,13,15,11,14,5,1,11,15,3,13,1,8,5,9,13,6,12,11,16,3,1,2,13,5,12,11,11,1,14,7,14,16,10,14,3,9,8,14,8,11,1987-03-30,1987-03-30,hernan galindez
Félix Torres,1997-01-11,Equador,1,86057914,,Félix Torres,11/1/1997 (25 years old),ECU,Mexican First Division,Santos Laguna,Mexico (First Division),Right,Very Strong,Weak,D (C),187 cm,80 kg,25,€40K - €6.2M,"€58,500 p/m",172,9,Main,16,11,Physical,-,Central Defender,Defend,D (C),12,3,13,14,14,15,14,3,1,9,11,5,4,11,12,5,2,6,9,10,5,1,15,15,3,9,8,13,14,13,12,2,13,12,9,11,3,1,3,15,18,14,12,8,2,7,10,1997-01-11,1997-01-11,felix torres
Piero Hincapié,2002-01-09,Equador,1,86066853,Wnt,Piero Hincapié,9/1/2002 (20 years old),ECU,Bundesliga,Bayer 04,Germany (Bundesliga),Left,Reasonable,Very Strong,D (LC),184 cm,76 kg,20,€15M - €18M,"€83,000 p/m",43,1,Main,21,-,Technical,-,Wing-Back,Defend,D (L),14,3,12,13,14,12,13,2,3,13,13,4,8,12,13,12,2,6,12,9,6,2,12,12,3,10,6,11,14,12,10,2,13,14,10,15,1,3,4,15,13,14,13,13,1,12,13,2002-01-09,2002-01-09,piero hincapie
Robert Arboleda,1991-10-22,Equador,1,86011987,Inj,Robert Arboleda,22/10/1991 (30 years old),ECU,Brazilian National First Division,SPO,Brazil (First Division),Right,Very Strong,Reasonable,D (C),187 cm,83 kg,30,€4.9M - €6.2M,"€54,500 p/m",327,27,Main,32,-,Physical,-,No-Nonsense Centre-Back,Defend,D (C),13,1,12,12,13,12,8,4,3,11,15,8,8,13,12,8,3,9,11,12,8,1,15,15,4,11,10,9,14,13,12,2,12,11,6,15,2,3,2,13,13,14,13,11,3,12,13,1991-10-22,1991-10-22,robert arboleda
José Cifuentes,1999-03-12,Equador,1,86060139,,José Cifuentes,12/3/1999 (23 years old),ECU,Major League Soccer,LAFC,U.S.A. (MLS),Right,Very Strong,Reasonable,"DM, M (C)",175 cm,72 kg,23,€5.6M - €6.8M,"€34,500 p/m",142,16,,10,16,Physical,-,Mezzala,Support,M (C),14,4,8,15,13,16,8,1,1,11,11,8,9,11,13,13,3,13,14,5,13,1,8,7,3,9,12,8,9,16,12,1,13,15,10,10,2,1,3,16,9,12,12,14,1,14,12,1999-03-12,1999-03-12,jose cifuentes
Willian Pacho,2001-10-16,Equador,1,86075795,,William Pacho,16/10/2001 (20 years old),ECU,Jupiler Pro League,Antwerp,Belgium (Jupiler Pro League),Left,Weak,Very Strong,D (C),186 cm,81 kg,20,€6.6M - €8.2M,"€91,500 p/m",30,-,,0,-,Physical,-,Ball Playing Defender,Defend,D (C),11,3,12,13,13,16,13,3,1,13,11,6,6,12,8,9,2,7,10,9,6,1,13,13,1,7,7,6,14,13,9,1,12,13,8,13,2,4,2,15,15,12,14,12,1,8,14,2001-10-16,2001-10-16,william pacho
Pervis Estupiñán,1998-01-21,Equador,1,86045976,,Pervis Estupiñán,21/1/1998 (24 years old),ECU,English Premier Division,Brighton,England (Premier Division),Left,Reasonable,Very Strong,D/WB/M (L),175 cm,73 kg,24,€32M - €48M,"€302,000 p/m",197,6,Main,28,12,Physical,-,Wing-Back,Attack,D (L),15,1,11,12,11,13,12,1,3,14,10,6,14,11,13,13,2,7,14,12,7,2,10,10,1,10,7,14,11,16,16,3,15,11,12,11,3,2,2,18,11,13,14,13,3,11,13,1998-01-21,1998-01-21,pervis estupinan
Carlos Gruezo,1995-04-19,Equador,1,86029647,Wnt,Carlos Gruezo,19/4/1995 (27 years old),ECU,Bundesliga,FC Augsburg,Germany (Bundesliga),Right,Very Strong,Weak,"DM, M (C)",171 cm,67 kg,27,€2.8M,"€125,000 p/m",253,7,Main,46,9,Leader,-,Ball Winning Midfielder,Support,DM,13,1,16,14,13,14,15,3,1,12,11,8,10,12,16,11,2,8,12,9,6,1,8,8,2,11,10,11,13,16,9,1,11,15,9,12,2,2,2,13,12,15,15,13,1,13,16,1995-04-19,1995-04-19,carlos gruezo
Ayrton Preciado,1994-07-17,Equador,1,86029624,Lst,Ayrton Preciado,17/7/1994 (27 years old),ECU,Mexican First Division,Santos Laguna,Mexico (First Division),Right,Very Strong,Reasonable,"AM (RL), ST (C)",182 cm,71 kg,27,€1.4M,"€53,000 p/m",230,51,,27,-,Technical,Shin splints,Inverted Winger,Support,AM (L),11,1,10,12,9,10,12,1,3,13,10,11,12,9,12,14,1,11,16,10,11,3,8,11,3,8,14,6,7,13,14,1,13,12,13,7,1,4,1,14,10,4,13,15,3,12,10,1994-07-17,1994-07-17,ayrton preciado
Romario Ibarra,1994-09-24,Equador,1,86032746,,Romario Ibarra,24/9/1994 (27 years old),ECU,Mexican First Division,Pachuca,Mexico (First Division),Left,Reasonable,Very Strong,M/AM (L),176 cm,77 kg,27,€240K - €2.4M,"€41,000 p/m",234,30,,24,-,Physical,-,Winger,Support,AM (L),15,3,11,13,7,12,11,3,1,14,11,12,14,8,18,16,1,10,10,15,11,2,7,9,2,8,12,9,6,17,11,2,16,10,11,5,2,1,2,14,11,8,8,11,1,10,9,1994-09-24,1994-09-24,romario ibarra
